,"SAIFI - planned and unplanned, including exceptional events",,,,,,,,,,,,,,
Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Austria,,,,,,,,,,,0.83,0.81,0.96,0.8,0.86
Croatia,,,,,,,,,,,5.09,4.32,4.34,4.15,3.51
Czech Republic,,,,,,,2.84,2.54,2.37,2.36,2.39,2.65,2.37,2.65,2.21
Denmark,,,,,,,,,0.44,0.44,0.44,0.41,0.35,0.42,0.42
Estonia,,,,,,,,,,,2.32,3.06,1.13,1.73,1.96
Finland,,,,,,,,,,,1.96,2.35,1.76,2.78,1.58
France,0.11,0.18,0.16,0.13,0.15,0.19,0.32,0.34,0.28,0.19,0.19,0.23,0.2,0.22,0.22
Germany,,,,,,0.55,0.44,0.4,0.4,0.44,0.41,0.58,0.45,0.91,0.59
Great Britain,,,,,0.76,0.9,0.79,0.75,0.74,0.72,0.68,0.63,0.74,0.58,0.54
Greece,,,,,,,,,,,3.3,3.2,2.8,2.9,2.8
Hungary,,,,,,,,,,,,,,1.55,1.43
Ireland,,,,,,,,,,,,,,1.5,1.3
Italy,3.25,4.45,2.88,2.79,2.58,2.46,2.73,2.66,2.65,2.46,2.74,2.57,2.35,2.81,2.17
Latvia,,,,,,3.01,2.95,1.8,5,5.59,4.78,4.48,3.77,3.18,3.13
Lithuania,,,,1.57,1.73,2.44,1.89,1.89,2.45,2.67,2.36,1.97,1.85,1.72,1.83
Luxembourg,,,,,,,,,,,,0.4,0.38,0.43,0.28
Malta,,,,,,,,,,,5.05,4.76,5.34,3.13,2.6
The Netherlands,,,,,,,,,,,0.33,0.33,0.31,0.47,0.32
Norway,,,,,,,,,,,1.63,2.22,2.44,2.17,1.89
Poland,,,,,,3.5,4.88,4.6,4.45,5.04,4.14,3.94,3.52,4.11,3.46
Portugal,7.64,6.26,3.89,3.73,3.9,2.66,2.82,3.64,4.33,2.42,1.89,3.1,1.9,1.55,1.65
Romania,,,,,,,,,,,,6.23,5.86,5.49,5
Slovakia,,,,,,,,,,,,2.58,2.24,2.14,2.26
Slovenia,,,,,,,3.81,3.46,2.67,2.79,3.87,3.09,5.17,2.66,2.49
Spain,,,,,,,,,,,7.03,1.19,1.29,1.3,1.18
Sweden,,,,,,,,,,,1.47,1.48,1.46,1.36,1.34
Switzerland,,,,,,,,,0.4,0.4,0.45,0.37,0.3,0.32,0.3
United States,,,,,,,,,,,,1.42,1.43,1.48,1.49
